epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.00775,3.2869,94.1953,1.56693,0,0,0,0,3.01104,60.1228,1.3627,0.09307,7e-05,7e-05
2,5.07881,4.16203,105.785,2.12366,0,0,0,0,2.97155,56.9195,1.44111,0.0851485,0.000148515,0.000148515
3,6.26344,3.45353,89.6523,1.86999,0,0,0,0,2.86724,58.7127,1.49145,0.0772254,0.000225446,0.000225446
4,7.55835,3.95383,79.6802,2.13471,0,0,0,0,4.06953,241.078,2.25859,0.0693008,0.000300793,0.000300793
5,9.22855,3.42324,24.9287,1.32254,0.00042,0.125,0.00025,7e-05,2.62414,56.4809,1.253,0.0613746,0.000374556,0.000374556
6,13.9887,2.19265,14.8835,0.91708,0.00208,0.625,0.00287,0.00109,2.23892,49.5596,1.03267,0.0534467,0.000446735,0.000446735
7,15.5468,2.37713,6.0425,1.04614,0.19693,0.375,0.20469,0.07748,1.78594,16.5827,0.9731,0.0455173,0.00051733,0.00051733
8,17.3224,2.50777,4.66714,1.06686,0.18007,0.60459,0.16407,0.0984,1.74231,19.72,0.95314,0.0375863,0.000586341,0.000586341
9,18.844,2.12913,4.23875,0.98584,0.0025,0.75,0.00372,0.00211,2.03203,15.2253,1.06136,0.0296538,0.000653768,0.000653768
10,20.1905,2.01047,4.82932,1.01388,0.0025,0.75,0.00372,0.00211,2.03203,15.2253,1.06136,0.0217196,0.000719611,0.000719611
11,21.5699,1.91192,4.66173,0.99739,0.64822,0.125,0.15495,0.03393,2.29397,4.5397,1.08911,0.0137839,0.00078387,0.00078387
12,23.0319,2.1294,4.39837,1.02287,0.64822,0.125,0.15495,0.03393,2.29397,4.5397,1.08911,0.00584655,0.000846545,0.000846545
13,25.6611,1.82336,3.30875,0.94886,0.87274,0.85917,0.9326,0.29741,2.44188,1.57673,1.14014,0.0008812,0.0008812,0.0008812
14,29.5159,1.88995,1.67877,0.92569,0.87274,0.85917,0.9326,0.29741,2.44188,1.57673,1.14014,0.0008713,0.0008713,0.0008713
